# KSW Arabic — FULL master glossary / جدول المصطلحات العربية الكامل
# راجع عمود proposed_ar وعدّله مباشرة حيث تريد صيغة مختلفة، ثم أعد الملف.
# status: changed = قرار مُدار | matched-core = مطابق لترجمة Odoo الرسمية
#         changed (auto) = تنظيف تلقائي (إزالة تشكيل/توحيد مفهوم) | unchanged = يبقى كما هو
# source: labour-law/ksa-hr/sap-oracle/odoo-core/unify/auto/keep-current
# ملاحظة: العبارات الطويلة (تلميحات/مساعدة/رسائل) تُعالَج آلياً ولا تظهر هنا.
term_en,current_ar,proposed_ar,status,source,modules,note
KSW Sales / Collection Commission Sheet,كشف عمولة مبيعات / تحصيل KSW,كشف عمولة مبيعات / تحصيل KSW,unchanged,auto,commissions,
KSW Sales / Collection Commission Tier,شريحة عمولة مبيعات / تحصيل KSW,شريحة عمولة مبيعات / تحصيل KSW,unchanged,auto,commissions,
KSW Sales/Collection Commission Import Wizard,معالج استيراد عمولة مبيعات / تحصيل KSW,معالج استيراد عمولة مبيعات / تحصيل KSW,unchanged,auto,commissions,
KSW Technician Location Allowance Line,بند بدل موقع الفني KSW,بند بدل موقع الفني KSW,unchanged,auto,commissions,
KSW Technician Location Allowance Sheet,كشف بدل موقع الفني KSW,كشف بدل موقع الفني KSW,unchanged,auto,commissions,
KSW Work Site,موقع عمل KSW,موقع عمل KSW,unchanged,auto,commissions,
Label,التسمية,التسمية,unchanged,keep-current,commissions,الأساسي «بطاقة عنوان» — «التسمية» صحيحة
Last Synced,آخر مزامنة,آخر مزامنة,unchanged,auto,ext_sync,
Last Wage,آخر راتب,آخر راتب,unchanged,auto,deduction,
Late (min),تأخير (دقيقة),تأخير (دقيقة),unchanged,auto,"attendance_report,payroll",
Late Minutes,دقائق التأخير,دقائق التأخير,unchanged,auto,attendance_leave,
Late Minutes (Net),دقائق التأخير (صافي),دقائق التأخير (صافي),unchanged,auto,attendance_leave,
Leave Approval Report,تقرير اعتماد الإجازة,تقرير اعتماد الإجازة,unchanged,auto,unpaid_leave,
Leave Attendance Issue Hours,ساعات مشكلة حضور الإجازة,ساعات مشكلة حضور الإجازة,unchanged,auto,attendance_leave,
Leave Balance,رصيد الإجازة,رصيد الإجازة,unchanged,auto,annual_leave,
Leave Balances,أرصدة الإجازة,أرصدة الإجازة,unchanged,auto,leave_types,
Leave Commission Line,بند عمولة الإجازة,بند عمولة الإجازة,unchanged,auto,annual_leave,
Leave Details,تفاصيل الإجازة,تفاصيل الإجازة,unchanged,auto,"annual_leave,unpaid_leave",
Leave From,الإجازة من,الإجازة من,unchanged,auto,annual_leave,
Leave Lock,قفل الإجازة,قفل الإجازة,unchanged,auto,unpaid_leave,
Leave Management,إدارة الإجازات,إدارة الإجازات,unchanged,auto,annual_leave,
Leave Period,فترة الإجازة,فترة الإجازة,unchanged,auto,annual_leave,
Leave Request,طلب إجازة,طلب إجازة,unchanged,auto,attendance_leave,
Leave Request Details,تفاصيل طلب الإجازة,تفاصيل طلب الإجازة,unchanged,auto,payroll,
Leave Summary,ملخص الإجازة,ملخص الإجازة,unchanged,auto,annual_leave,
Leave To,الإجازة إلى,الإجازة إلى,unchanged,auto,annual_leave,
Leave Type,نوع الإجازة,نوع الإجازة,unchanged,auto,leave_types,
Leave — Approval Report,الإجازة — تقرير الاعتماد,الإجازة — تقرير الاعتماد,unchanged,auto,unpaid_leave,
Leaves Taken,الإجازات المأخوذة,الإجازات المأخوذة,unchanged,auto,annual_leave,
Lines Subtotal,مجموع البنود,مجموع البنود,unchanged,auto,commissions,
Lines Total,إجمالي البنود,إجمالي البنود,unchanged,auto,commissions,
Lines<br/>Subtotal,مجموع<br/>البنود,مجموع<br/>البنود,unchanged,auto,commissions,
Linked Allocation,التخصيص المرتبط,التخصيص المرتبط,unchanged,auto,annual_leave,
Linked Leave,الإجازة المرتبطة,الإجازة المرتبطة,unchanged,auto,unpaid_leave,
Live Shortfall (auto),العجز الحالي (تلقائي),العجز الحالي (تلقائي),unchanged,auto,commissions,
Load All Unlocked Employees,تحميل جميع الموظفين غير المقفلين,تحميل جميع الموظفين غير المقفلين,unchanged,auto,annual_leave,
Load Funds - تحميل رصيد,تحميل رصيد,تحميل رصيد,unchanged,auto,payroll,
Loan,القرض,القرض,unchanged,auto,deduction,
Loan (5-step Approval),قرض (اعتماد بخمس خطوات),قرض (اعتماد بخمس خطوات),unchanged,auto,deduction,
Loan Acc No. in BAS,رقم حساب القرض في BAS,رقم حساب القرض في BAS,unchanged,auto,deduction,
Loan Acc No. in Bas,رقم حساب القرض في BAS,رقم حساب القرض في BAS,unchanged,auto,deduction,
Loan Approval,اعتماد القرض,اعتماد القرض,unchanged,auto,deduction,
Loan Approval History,سجل اعتمادات القرض,سجل اعتمادات القرض,unchanged,auto,deduction,
Loan Modification,تعديل طلب القرض (قبل التأكيد),تعديل طلب القرض (قبل التأكيد),unchanged,auto,deduction,
Loan Request,طلب قرض,طلب قرض,unchanged,auto,deduction,
Loan Type,نوع القرض,نوع القرض,unchanged,auto,deduction,
Loans,القروض,القروض,unchanged,auto,"commissions,deduction",
Loans & Advances,القروض والسلف,القروض والسلف,unchanged,auto,ext_sync,
Loans Amount,مبلغ القروض,مبلغ القروض,unchanged,auto,commissions,
Loans Deduction,خصم القروض,خصم القروض,unchanged,auto,commissions,
Loans<br/>Deduction,خصم<br/>القروض,خصم<br/>القروض,unchanged,auto,commissions,
Location Allowance,بدل الموقع,بدل الموقع,unchanged,auto,commissions,
Location Allowance Amount,مبلغ بدل الموقع,مبلغ بدل الموقع,unchanged,auto,commissions,
Location Allowance Sheets,كشوف بدل الموقع,كشوف بدل الموقع,unchanged,auto,commissions,
Lock After Apply,قفل بعد التطبيق,قفل بعد التطبيق,unchanged,auto,annual_leave,
Locked,مقفل,مقفل,unchanged,auto,attendance_sheet,
Lunch (qty),الغداء (عدد),الغداء (عدد),unchanged,auto,commissions,
Lunch (SAR),الغداء (ريال),الغداء (ريال),unchanged,auto,commissions,
Lunch Amount,مبلغ الغداء,مبلغ الغداء,unchanged,auto,commissions,
Lunch Price,سعر الغداء,سعر الغداء,unchanged,auto,commissions,
Lunch Qty,عدد الغداء,عدد الغداء,unchanged,auto,commissions,
Manager Confirmed On,تاريخ تأكيد المدير,تاريخ تأكيد المدير,unchanged,auto,annual_leave,
Manual Entry,إدخال يدوي,إدخال يدوي,unchanged,auto,deduction,
Manual Payments,المدفوعات اليدوية,المدفوعات اليدوية,unchanged,auto,deduction,
Mark All Absent,تسجيل غياب الجميع,تسجيل غياب الجميع,unchanged,auto,annual_leave,
Max Quantity,أقصى كمية,أقصى كمية,unchanged,auto,commissions,
Meal Allowance,بدل الوجبة,بدل الوجبة,unchanged,auto,base_security,
Meal allowance,بدل الوجبة,بدل الوجبة,unchanged,auto,base_security,
Meal Occurrences,عدد الوجبات,عدد الوجبات,unchanged,auto,commissions,
Medical Allowance,البدل الطبي,البدل الطبي,unchanged,auto,base_security,
Medical allowance,البدل الطبي,البدل الطبي,unchanged,auto,base_security,
Min Quantity,أدنى كمية,أدنى كمية,unchanged,auto,commissions,
Missing Joining Date,تاريخ الالتحاق مفقود,تاريخ الالتحاق مفقود,unchanged,auto,annual_leave,
Mobile Allowance,بدل الجوال,بدل الجوال,unchanged,auto,payroll,
Mobile allowance,بدل الجوال,بدل الجوال,unchanged,auto,payroll,
Mobile Phone Allowance,بدل الجوال,بدل الجوال,unchanged,auto,commissions,
Month / Description,الشهر / الوصف,الشهر / الوصف,unchanged,auto,annual_leave,
Month number (1-12),رقم الشهر (1-12),رقم الشهر (1-12),unchanged,auto,deduction,
Month(s) Affected,الشهر (الأشهر) المتأثرة,الشهر (الأشهر) المتأثرة,unchanged,auto,annual_leave,
Monthly Cumulative Summary,الملخص التراكمي الشهري,الملخص التراكمي الشهري,unchanged,auto,commissions,
Monthly Deduction Total,إجمالي الخصم الشهري,إجمالي الخصم الشهري,unchanged,auto,deduction,
Monthly Impact (other),الأثر الشهري (أخرى),الأثر الشهري (أخرى),unchanged,auto,deduction,
Monthly Report,التقرير الشهري,التقرير الشهري,unchanged,auto,attendance_report,
Monthly Sheets,الكشوف الشهرية,الكشوف الشهرية,unchanged,auto,commissions,
Monthly Targets,الأهداف الشهرية,الأهداف الشهرية,unchanged,auto,commissions,
Multiplied,مضاعف,مضاعف,unchanged,auto,commissions,
Multiplied Trips,الرحلات المضاعفة,الرحلات المضاعفة,unchanged,auto,commissions,
My Employee's Sheets,كشوف موظفي,كشوف موظفي,unchanged,auto,commissions,
My Loans,قروضي,قروضي,unchanged,auto,deduction,
My Subordinates' Sheets,كشوف مرؤوسي,كشوف مرؤوسي,unchanged,auto,commissions,
N/A,غير منطبق,غير منطبق,unchanged,auto,annual_leave,
Name (Arabic),الاسم (عربي),الاسم (عربي),unchanged,auto,ext_sync,
Name (English),الاسم (إنجليزي),الاسم (إنجليزي),unchanged,auto,ext_sync,
National Day,اليوم الوطني,اليوم الوطني,unchanged,auto,commissions,
NET Totals by Bank Account,صافي الإجماليات حسب الحساب البنكي,صافي الإجماليات حسب الحساب البنكي,unchanged,auto,payroll,
New Amount / Installment,المبلغ الجديد / القسط,المبلغ الجديد / القسط,unchanged,auto,deduction,
Non-loans,غير القروض,غير القروض,unchanged,auto,deduction,
Non-Zero Balance,رصيد غير صفري,رصيد غير صفري,unchanged,auto,ext_sync,
Notes / Description,ملاحظات / وصف,ملاحظات / وصف,unchanged,auto,payroll,
Notes…,ملاحظات…,ملاحظات…,unchanged,auto,commissions,
Officer,مسؤول,مسؤول,unchanged,keep-current,"annual_leave,commissions,deduction",الأساسي «مستخدم» — خطأ؛ المقصود مسؤول
On Vacation,في إجازة,في إجازة,unchanged,auto,"annual_leave,payroll",
Only Self,ذاتي فقط,ذاتي فقط,unchanged,auto,payroll,
Opening,الرصيد الافتتاحي,الرصيد الافتتاحي,unchanged,auto,ext_sync,
Opening Balance (Go-Live Setup),الرصيد الافتتاحي (إعداد الانطلاق),الرصيد الافتتاحي (إعداد الانطلاق),unchanged,auto,annual_leave,
Opening Balance Wizard Line,بند معالج الرصيد الافتتاحي,بند معالج الرصيد الافتتاحي,unchanged,auto,annual_leave,
Opening Data Locked,البيانات الافتتاحية مقفلة,البيانات الافتتاحية مقفلة,unchanged,auto,annual_leave,
Opening Extra Days,أيام إضافية افتتاحية,أيام إضافية افتتاحية,unchanged,auto,annual_leave,
Opening Locked,الرصيد الافتتاحي مقفل,الرصيد الافتتاحي مقفل,unchanged,auto,annual_leave,
Opening Reset Date,تاريخ إعادة تعيين الرصيد الافتتاحي,تاريخ إعادة تعيين الرصيد الافتتاحي,unchanged,auto,annual_leave,
Operations,العمليات,العمليات,unchanged,auto,deduction,
Optional notes about this template…,ملاحظات اختيارية عن هذا القالب…,ملاحظات اختيارية عن هذا القالب…,unchanged,auto,commissions,
Other Allowance,بدل آخر,بدل آخر,unchanged,auto,"base_security,payroll",
Other allowances,بدلات أخرى,بدلات أخرى,unchanged,auto,base_security,
Other Allowances,البدلات الأخرى,البدلات الأخرى,unchanged,auto,payroll,
Outstanding Balance,الرصيد المتبقي,الرصيد المتبقي,unchanged,auto,deduction,
Outstanding Before Payment,المتبقي قبل الدفع,المتبقي قبل الدفع,unchanged,auto,deduction,
over,على مدى,على مدى,unchanged,auto,deduction,
Overridden By,تم التجاوز بواسطة,تم التجاوز بواسطة,unchanged,auto,commissions,
Override,تجاوز,تجاوز,unchanged,auto,commissions,
Override Commission Condition,تجاوز شرط العمولة,تجاوز شرط العمولة,unchanged,auto,commissions,
Override Condition,تجاوز الشرط,تجاوز الشرط,unchanged,auto,commissions,
Override Date,تاريخ التجاوز,تاريخ التجاوز,unchanged,auto,commissions,
Override Reason,سبب التجاوز,سبب التجاوز,unchanged,auto,commissions,
Paid via Commission Sheet,مدفوع عبر كشف العمولة,مدفوع عبر كشف العمولة,unchanged,auto,commissions,
Paid via Sheet,مدفوع عبر الكشف,مدفوع عبر الكشف,unchanged,auto,commissions,
Partial Refund - أستراد جزء من المبلغ,استرداد جزء من المبلغ,استرداد جزء من المبلغ,unchanged,auto,payroll,
Passport Expiration Date,تاريخ انتهاء الجواز,تاريخ انتهاء الجواز,unchanged,auto,base_security,
Payment Amount,مبلغ الدفع,مبلغ الدفع,unchanged,auto,deduction,
Payment Details,تفاصيل الدفع,تفاصيل الدفع,unchanged,auto,deduction,
Payment Mode,طريقة الدفع,طريقة الدفع,unchanged,auto,ext_sync,
Payment Vouchers,سندات الدفع,سندات الدفع,unchanged,auto,ext_sync,
Payroll File Configuration,إعداد ملف الرواتب,إعداد ملف الرواتب,unchanged,auto,payroll,
Payroll File Type,نوع ملف الرواتب,نوع ملف الرواتب,unchanged,auto,payroll,
Payroll Impact,الأثر على الراتب,الأثر على الراتب,unchanged,auto,deduction,
Payroll Priority,أولوية الراتب,أولوية الراتب,unchanged,auto,deduction,
Penalty,خصم جزائي,خصم جزائي,unchanged,auto,annual_leave,
Penalty Amount,مبلغ الغرامة,مبلغ الغرامة,unchanged,auto,annual_leave,
Penalty Deduction,خصم الغرامة,خصم الغرامة,unchanged,auto,payroll,
Penalty Description,وصف الغرامة,وصف الغرامة,unchanged,auto,annual_leave,
Pending Disbursement,بانتظار الصرف,بانتظار الصرف,unchanged,auto,deduction,
Pending DM,بانتظار المدير المباشر,بانتظار المدير المباشر,unchanged,auto,deduction,
Pending GM,بانتظار المدير العام,بانتظار المدير العام,unchanged,auto,deduction,
Pending HR,بانتظار الموارد البشرية,بانتظار الموارد البشرية,unchanged,auto,deduction,
Per-Driver Roll-up,إجمالي لكل سائق,إجمالي لكل سائق,unchanged,auto,commissions,
Period Date,تاريخ الفترة,تاريخ الفترة,unchanged,auto,deduction,
Permit No,رقم التصريح,رقم التصريح,unchanged,auto,base_security,
Personal Loan,قرض شخصي,قرض شخصي,unchanged,auto,deduction,
Previous Payments,المدفوعات السابقة,المدفوعات السابقة,unchanged,auto,eos_leave,
Profile,الملف,الملف,unchanged,auto,commissions,
Progress %,نسبة الإنجاز ٪,نسبة الإنجاز ٪,unchanged,auto,deduction,
Progress Percent,نسبة الإنجاز,نسبة الإنجاز,unchanged,auto,deduction,
Project Management Allowance,بدل إدارة المشاريع,بدل إدارة المشاريع,unchanged,auto,commissions,
Qty,الكمية,الكمية,unchanged,auto,commissions,
Quantity Label,تسمية الكمية,تسمية الكمية,unchanged,auto,commissions,
Quantity-Based Amount,مبلغ قائم على الكمية,مبلغ قائم على الكمية,unchanged,auto,commissions,
Rate,النسبة,النسبة,unchanged,keep-current,commissions,سياق العمولات: «النسبة» لا «المعدل»
Rate %,نسبة العمولة ٪,نسبة العمولة ٪,unchanged,auto,commissions,
Rate (SAR / trip),النسبة (ريال / رحلة),النسبة (ريال / رحلة),unchanged,auto,commissions,
Raw Absent,غياب خام,غياب خام,unchanged,auto,attendance_leave,
Raw Late Min,دق. تأخير خام,دق. تأخير خام,unchanged,auto,attendance_leave,
Raw Late Minutes,دقائق التأخير الخام,دقائق التأخير الخام,unchanged,auto,attendance_leave,
Raw Worked Hours,ساعات العمل الخام,ساعات العمل الخام,unchanged,auto,attendance_leave,
Re-Issue Card - أعادة اصدار البطاقة,إعادة إصدار البطاقة,إعادة إصدار البطاقة,unchanged,auto,payroll,
Reason for refusal,سبب الرفض,سبب الرفض,unchanged,auto,deduction,
Reason Skipped,سبب التخطي,سبب التخطي,unchanged,auto,payroll,
"Receipt #, bank reference…",رقم الإيصال، مرجع بنكي…,رقم الإيصال، مرجع بنكي…,unchanged,auto,deduction,
Receipts,المقبوضات,المقبوضات,unchanged,keep-current,ext_sync,المصطلح المحاسبي «المقبوضات»
Record Payment,تسجيل دفعة,تسجيل دفعة,unchanged,auto,deduction,
Reference / Note,المرجع / الملاحظة,المرجع / الملاحظة,unchanged,auto,deduction,
Refresh All,تحديث الكل,تحديث الكل,unchanged,auto,annual_leave,
Refresh Annual Leave Dashboard,تحديث لوحة الإجازات السنوية,تحديث لوحة الإجازات السنوية,unchanged,auto,annual_leave,
Refresh Totals,تحديث الإجماليات,تحديث الإجماليات,unchanged,auto,payroll,
Refusal Reason,سبب الرفض,سبب الرفض,unchanged,auto,deduction,
Refuse Loan Request,رفض طلب القرض,رفض طلب القرض,unchanged,auto,deduction,
Refused By,رفضه,رفضه,unchanged,auto,deduction,
Refusing At,حالة الرفض عند,حالة الرفض عند,unchanged,auto,deduction,
Related Leave,الإجازة المرتبطة,الإجازة المرتبطة,unchanged,auto,payroll,
Related Leaves,الإجازات المرتبطة,الإجازات المرتبطة,unchanged,auto,attendance_leave,
Related Time Off,الإجازة المرتبطة,الإجازة المرتبطة,unchanged,auto,attendance_leave,
Remaining After Payment,المتبقي بعد الدفع,المتبقي بعد الدفع,unchanged,auto,deduction,
Remaining Balance,الرصيد المتبقي,الرصيد المتبقي,unchanged,auto,annual_leave,
Remaining Loans,القروض المتبقية,القروض المتبقية,unchanged,auto,"annual_leave,payroll",
Remaining Loans Description,وصف القروض المتبقية,وصف القروض المتبقية,unchanged,auto,annual_leave,
Reopen,إعادة فتح,إعادة فتح,unchanged,auto,commissions,
Request a Loan,طلب قرض,طلب قرض,unchanged,auto,deduction,
Required Trips,الرحلات المطلوبة,الرحلات المطلوبة,unchanged,auto,commissions,
Required Trips (full month),الرحلات المطلوبة (شهر كامل),الرحلات المطلوبة (شهر كامل),unchanged,auto,commissions,
Required/30d,المطلوب / 30 يوم,المطلوب / 30 يوم,unchanged,auto,commissions,
Resolved Rules,القواعد المحلولة,القواعد المحلولة,unchanged,auto,commissions,
Resource Calendar Group,مجموعة تقويم الموارد,مجموعة تقويم الموارد,unchanged,auto,working_schedule,
Resource Calendar Group Line,بند مجموعة تقويم الموارد,بند مجموعة تقويم الموارد,unchanged,auto,working_schedule,
Result,النتيجة,النتيجة,unchanged,auto,deduction,
result = quantity * 100,result = quantity * 100,result = quantity * 100,unchanged,auto,commissions,
Return for Revision,إعادة للمراجعة,إعادة للمراجعة,unchanged,auto,annual_leave,
Return Leave for Revision,إعادة الإجازة للمراجعة,إعادة الإجازة للمراجعة,unchanged,auto,annual_leave,
Return Settings,إعدادات الإعادة,إعدادات الإعادة,unchanged,auto,annual_leave,
Return To,العودة إلى,العودة إلى,unchanged,auto,annual_leave,
Return to Approver,إعادة إلى المعتمد,إعادة إلى المعتمد,unchanged,auto,annual_leave,
Review Only,مراجعة فقط,مراجعة فقط,unchanged,auto,attendance_sheet,
Revoke Override,إلغاء التجاوز,إلغاء التجاوز,unchanged,auto,commissions,
Revoke override,إلغاء التجاوز,إلغاء التجاوز,unchanged,auto,commissions,
Salary Computation,احتساب الراتب,احتساب الراتب,unchanged,keep-current,payroll,سجل «راتب» لا «مرتب»
Salary Deduction,خصم الراتب,خصم الراتب,unchanged,auto,payroll,
Salary Paying Bank Account,الحساب البنكي لصرف الراتب,الحساب البنكي لصرف الراتب,unchanged,auto,payroll,
Salary Payment,دفع الراتب,دفع الراتب,unchanged,auto,payroll,
Sales %,نسبة المبيعات ٪,نسبة المبيعات ٪,unchanged,auto,commissions,
Sales & Collection Commissions,عمولات المبيعات والتحصيل,عمولات المبيعات والتحصيل,unchanged,auto,commissions,
Sales / Collection Commission Rule,قاعدة عمولة مبيعات / تحصيل,قاعدة عمولة مبيعات / تحصيل,unchanged,auto,commissions,
Sales / Collection Commission Sheet,كشف عمولة مبيعات / تحصيل,كشف عمولة مبيعات / تحصيل,unchanged,auto,commissions,
Sales Commission,عمولة المبيعات,عمولة المبيعات,unchanged,auto,commissions,
Sales Commission Amount,مبلغ عمولة المبيعات,مبلغ عمولة المبيعات,unchanged,auto,commissions,
Sales Commission and Other,عمولات المبيعات وأخرى,عمولات المبيعات وأخرى,unchanged,auto,commissions,
Sales Commission Rule,قاعدة عمولة المبيعات,قاعدة عمولة المبيعات,unchanged,auto,commissions,
Sales Excel File,ملف Excel للمبيعات,ملف Excel للمبيعات,unchanged,auto,commissions,
Sales File,ملف المبيعات,ملف المبيعات,unchanged,auto,commissions,
Sales File Name,اسم ملف المبيعات,اسم ملف المبيعات,unchanged,auto,commissions,
Sales Invoices,فواتير المبيعات,فواتير المبيعات,unchanged,auto,ext_sync,
Sales Manager,مدير المبيعات,مدير المبيعات,unchanged,auto,commissions,
Sales Min %,الحد الأدنى لنسبة المبيعات ٪,الحد الأدنى لنسبة المبيعات ٪,unchanged,auto,commissions,
Sales Override,تجاوز المبيعات,تجاوز المبيعات,unchanged,auto,commissions,
Sales Rule,قاعدة المبيعات,قاعدة المبيعات,unchanged,auto,commissions,
Sales Target,هدف المبيعات,هدف المبيعات,unchanged,auto,commissions,
Sales-Manager Commission Condition Override Wizard,معالج تجاوز شرط عمولة مدير المبيعات,معالج تجاوز شرط عمولة مدير المبيعات,unchanged,auto,commissions,
Sales/Collection Commission Line,بند عمولة مبيعات / تحصيل,بند عمولة مبيعات / تحصيل,unchanged,auto,commissions,
Sales/Collection Commission Rules,قواعد عمولة مبيعات / تحصيل,قواعد عمولة مبيعات / تحصيل,unchanged,auto,commissions,
Sales/Collection Commission Sheets,كشوف عمولة مبيعات / تحصيل,كشوف عمولة مبيعات / تحصيل,unchanged,auto,commissions,
SAR,ريال,ريال,unchanged,auto,commissions,
Saturday Required (Deduct + Overtime Offset),السبت المطلوب (خصم + تعويض الإضافي),السبت المطلوب (خصم + تعويض الإضافي),unchanged,auto,working_schedule,
Sched. Min,الدقائق المجدولة,الدقائق المجدولة,unchanged,auto,payroll,
Schedule,الجدول,الجدول,unchanged,keep-current,deduction,المقصود جدول الأقساط (اسم) لا «جدولة»
Scheduled Minutes,الدقائق المجدولة,الدقائق المجدولة,unchanged,auto,payroll,
Search Annual Leave,بحث في الإجازات السنوية,بحث في الإجازات السنوية,unchanged,auto,annual_leave,
Selection,الاختيار,الاختيار,unchanged,keep-current,attendance_report,الأساسي «قائمة خيارات» — المقصود الاختيار
Self-Service,الخدمة الذاتية,الخدمة الذاتية,unchanged,auto,deduction,
Service Days Calculator,حاسبة أيام الخدمة,حاسبة أيام الخدمة,unchanged,auto,"annual_leave,unpaid_leave",
Service Period Reference,بيانات فترة الخدمة المرجعية,بيانات فترة الخدمة المرجعية,unchanged,auto,eos_leave,
Service Years,سنوات الخدمة,سنوات الخدمة,unchanged,auto,"annual_leave,deduction",
Settlement,التسوية,التسوية,unchanged,auto,deduction,
Setup Opening Balances,إعداد الأرصدة الافتتاحية,إعداد الأرصدة الافتتاحية,unchanged,auto,annual_leave,
Sheet,الكشف,الكشف,unchanged,auto,"attendance_sheet,commissions",
Sheet Count,عدد الكشوف,عدد الكشوف,unchanged,auto,commissions,
Sheet Total,إجمالي الكشف,إجمالي الكشف,unchanged,auto,commissions,
sheet(s),كشف/كشوف,كشف/كشوف,unchanged,auto,commissions,
Sheets,الكشوف,الكشوف,unchanged,auto,commissions,
Sick Leave Pay Adjustment,تسوية راتب إجازة مرضية,تسوية راتب إجازة مرضية,unchanged,auto,payroll,
Signature,التوقيع,التوقيع,unchanged,auto,annual_leave,
Signature Confirmed On,تاريخ تأكيد التوقيع,تاريخ تأكيد التوقيع,unchanged,auto,annual_leave,
Single Threshold (one metric ≥ X%),حد أحادي (مقياس واحد ≥ X٪),حد أحادي (مقياس واحد ≥ X٪),unchanged,auto,commissions,
Site,الموقع,الموقع,unchanged,auto,commissions,
Special Close - إقفال بطاقة وإصدار بطاقة,إغلاق خاص وإصدار بطاقة,إغلاق خاص وإصدار بطاقة,unchanged,auto,payroll,
Specific bank – Excel,بنك محدد – إكسل,بنك محدد – إكسل,unchanged,auto,"commissions,payroll",
Specific bank – Text file,بنك محدد – ملف نصي,بنك محدد – ملف نصي,unchanged,auto,"commissions,payroll",
Split,تقسيم,تقسيم,unchanged,auto,commissions,
Split Origin,مصدر التجزئة,مصدر التجزئة,unchanged,auto,deduction,
Start Month,شهر البداية,شهر البداية,unchanged,auto,deduction,
State,الحالة,الحالة,unchanged,keep-current,"commissions,deduction",الأساسي «الولاية» — المقصود حالة سير العمل
Summary by Department,الملخص حسب القسم,الملخص حسب القسم,unchanged,auto,commissions,
Supervisor,المشرف,المشرف,unchanged,auto,"annual_leave,attendance_sheet,base_security,commissions,deduction,payroll",
Supervisor (Cascade),المشرف (تسلسلي),المشرف (تسلسلي),unchanged,auto,payroll,
Supervisor Cascading,التسلسل الإشرافي | تسلسل المشرفين,التسلسل الإشرافي,unchanged,auto,"annual_leave,base_security",
T1,م1,م1,unchanged,auto,commissions,
T2,م2,م2,unchanged,auto,commissions,
T3,م3,م3,unchanged,auto,commissions,
T4,م4,م4,unchanged,auto,commissions,
T5,م5,م5,unchanged,auto,commissions,
Target Amount (auto),المبلغ المستهدف (تلقائي),المبلغ المستهدف (تلقائي),unchanged,auto,commissions,
Target Collection,هدف التحصيل,هدف التحصيل,unchanged,auto,commissions,
Target Sales,هدف المبيعات,هدف المبيعات,unchanged,auto,commissions,
Technician,الفني,الفني,unchanged,auto,commissions,
Technician Allowance,بدل الفني,بدل الفني,unchanged,auto,commissions,
Technician Location Allowance,بدل موقع الفني,بدل موقع الفني,unchanged,auto,commissions,
Technicians,الفنيون,الفنيون,unchanged,auto,commissions,
Template Lines,بنود القالب,بنود القالب,unchanged,auto,commissions,
Template name…,اسم القالب…,اسم القالب…,unchanged,auto,commissions,
Termination Date,تاريخ إنهاء الخدمة,تاريخ إنهاء الخدمة,unchanged,auto,eos_leave,
Termination Reason,سبب إنهاء الخدمة,سبب إنهاء الخدمة,unchanged,auto,eos_leave,
Threshold Metric,مقياس الحد الأدنى,مقياس الحد الأدنى,unchanged,auto,commissions,
Tier,المستوى,المستوى,unchanged,auto,commissions,
Tier 1 (No Commission),المستوى الأول (بلا عمولة),المستوى الأول (بلا عمولة),unchanged,auto,commissions,
Tier 2,المستوى الثاني,المستوى الثاني,unchanged,auto,commissions,
Tier 3,المستوى الثالث,المستوى الثالث,unchanged,auto,commissions,
Tier 4,المستوى الرابع,المستوى الرابع,unchanged,auto,commissions,
Tier 5 (Open),المستوى الخامس (مفتوح),المستوى الخامس (مفتوح),unchanged,auto,commissions,
Tier 5 (remaining),المستوى الخامس (المتبقي),المستوى الخامس (المتبقي),unchanged,auto,commissions,
Tier Breakdown,توزيع المستويات,توزيع المستويات,unchanged,auto,commissions,
Tier Rate Configuration,إعدادات نسب المستويات,إعدادات نسب المستويات,unchanged,auto,commissions,
Tier1 Trips,رحلات المستوى الأول,رحلات المستوى الأول,unchanged,auto,commissions,
Tier2 Rate,نسبة المستوى الثاني,نسبة المستوى الثاني,unchanged,auto,commissions,
Tier2 Trips,رحلات المستوى الثاني,رحلات المستوى الثاني,unchanged,auto,commissions,
Tier3 Rate,نسبة المستوى الثالث,نسبة المستوى الثالث,unchanged,auto,commissions,
Tier3 Trips,رحلات المستوى الثالث,رحلات المستوى الثالث,unchanged,auto,commissions,
Tier4 Rate,نسبة المستوى الرابع,نسبة المستوى الرابع,unchanged,auto,commissions,
Tier4 Trips,رحلات المستوى الرابع,رحلات المستوى الرابع,unchanged,auto,commissions,
Tier5 Rate,نسبة المستوى الخامس,نسبة المستوى الخامس,unchanged,auto,commissions,
Tier5 Trips,رحلات المستوى الخامس,رحلات المستوى الخامس,unchanged,auto,commissions,
Tiered Commission Rules,قواعد العمولات المتدرجة,قواعد العمولات المتدرجة,unchanged,auto,commissions,
Time Off Approval,اعتماد الإجازات,اعتماد الإجازات,unchanged,keep-current,leave_approval,سجل «اعتماد» (الأساسي: الموافقة على طلب الإجازة)
To %,إلى ٪,إلى ٪,unchanged,auto,commissions,
To Account,إلى الحساب,إلى الحساب,unchanged,auto,ext_sync,
Total Accrued,إجمالي المتراكم,إجمالي المتراكم,unchanged,auto,annual_leave,
Total Accrued Days,إجمالي الأيام المستحقة,إجمالي الأيام المستحقة,unchanged,auto,annual_leave,
